k,BubbleSort partiel,BuildHeap / Remove,HeapSort
463,32.5230000,0.5100000,3.3350000
464,32.2660000,0.5240000,2.9850000
465,39.3990000,0.6770000,3.9580000
466,38.3650000,0.5920000,3.8920000
467,39.3540000,0.5720000,3.3380000
468,36.2900000,0.6950000,3.7270000
469,36.0100000,0.6790000,3.8770000
470,36.9670000,0.5760000,2.9870000
471,32.7650000,0.4890000,2.9980000
472,33.4930000,0.5570000,2.9280000
473,32.6970000,0.5360000,3.2480000
474,35.3550000,0.5270000,3.0180000
475,33.9130000,0.4890000,2.9170000
476,33.2190000,0.4900000,3.2830000
477,33.6040000,0.5750000,3.3530000
478,33.8560000,0.5280000,3.0040000
479,34.8100000,0.5150000,2.9450000
480,34.3610000,0.5220000,3.4580000
481,36.1300000,0.6210000,3.5150000
482,34.1390000,0.4940000,3.7440000
483,33.8140000,0.5440000,3.0930000
484,35.1980000,0.4990000,2.8810000
485,33.4700000,0.5030000,3.0050000
486,34.3320000,0.5250000,3.3550000
487,33.0120000,0.5830000,3.4770000
488,33.2490000,0.4960000,3.2530000
489,36.3640000,0.6750000,3.0860000
490,34.8810000,0.5910000,2.9960000
491,36.5020000,0.6100000,3.4940000
492,33.7330000,0.5210000,3.4620000
493,34.0560000,0.5030000,3.2640000
494,35.0460000,0.5810000,3.3590000
495,34.2360000,0.6340000,3.3840000
496,34.0230000,0.5010000,3.2650000
497,36.3540000,0.5070000,3.0270000
498,36.0120000,0.5600000,2.8850000
499,35.5280000,0.5970000,4.4700000
500,37.0730000,0.5030000,4.3010000
501,35.8040000,0.6610000,3.0320000
502,35.1170000,0.5020000,3.1390000
503,36.2830000,0.6160000,3.5450000
504,36.4080000,0.5060000,3.0330000
505,37.5500000,0.5920000,3.3150000
506,34.8240000,0.5070000,3.0240000
507,36.1470000,0.5060000,4.1590000
508,36.5370000,0.5640000,2.9960000
509,36.2220000,0.6340000,2.9430000
510,35.9620000,0.5070000,3.0720000
511,34.5550000,0.5070000,3.0060000
512,36.3980000,0.5150000,3.1850000
513,39.9580000,0.5350000,3.4400000
514,36.4650000,0.6740000,2.8950000
515,35.1670000,0.5140000,2.9970000
516,38.2320000,0.5450000,3.2140000
517,36.1020000,0.5180000,2.9030000
518,34.8620000,0.5220000,3.1900000
519,38.2080000,0.5140000,3.1510000
520,36.4120000,0.5240000,2.9870000
521,38.2080000,0.5180000,3.0010000
522,36.5080000,0.5290000,3.0170000
523,37.4180000,0.5190000,3.0020000
524,36.7730000,0.5200000,3.2320000
525,37.5570000,0.5190000,2.9940000
526,36.6260000,0.5170000,4.0650000
527,37.6110000,0.5490000,3.0180000
528,37.4010000,0.5220000,3.0860000
529,37.8350000,0.5300000,3.1850000
530,37.0280000,0.5570000,3.0970000
531,37.0230000,0.5190000,3.0070000
532,40.0420000,0.5710000,3.4870000
533,37.7500000,0.5270000,3.1240000
534,38.1930000,0.5670000,3.1870000
535,38.3110000,0.5220000,4.1330000
536,40.5200000,0.5680000,3.0080000
537,37.3230000,0.5460000,3.5170000
538,42.3860000,0.5260000,3.6530000
539,38.5750000,0.5270000,3.0160000
540,38.1110000,0.5850000,3.6520000
541,38.0300000,0.5250000,4.1130000
542,42.3700000,0.5380000,3.1230000
543,37.2210000,0.5420000,3.2680000
544,37.3600000,0.5250000,3.0080000
545,39.5810000,0.5600000,3.2970000
546,39.2500000,0.5360000,2.9130000
547,38.6210000,0.5280000,3.0730000
548,38.5200000,0.5320000,3.3830000
549,38.9130000,0.5440000,3.4430000
550,39.7840000,0.6120000,2.8560000
551,39.4310000,0.6160000,3.0370000
552,38.6750000,0.5330000,2.8710000
553,38.8160000,0.5290000,3.0600000
554,39.2440000,0.5340000,3.4990000
555,39.9190000,0.5410000,2.9280000
556,39.0180000,0.6250000,2.9490000
557,37.9950000,0.5320000,4.2020000
558,42.7890000,0.5330000,2.8970000
559,38.9180000,0.5420000,2.9260000
560,40.2770000,0.5970000,3.2480000
