k,BubbleSort partiel,BuildHeap / Remove,HeapSort
361,3286357,11799,124199
362,3294764,11810,124199
363,3303170,11822,124199
364,3311572,11835,124199
365,3319968,11846,124199
366,3328361,11859,124199
367,3336753,11871,124199
368,3345142,11883,124199
369,3353527,11896,124199
370,3361908,11908,124199
371,3370283,11921,124199
372,3378654,11933,124199
373,3387021,11945,124199
374,3395388,11956,124199
375,3403750,11968,124199
376,3412109,11980,124199
377,3420467,11991,124199
378,3428824,12003,124199
379,3437179,12015,124199
380,3445531,12027,124199
381,3453876,12039,124199
382,3462218,12049,124199
383,3470556,12062,124199
384,3478891,12074,124199
385,3487222,12086,124199
386,3495550,12098,124199
387,3503873,12110,124199
388,3512194,12123,124199
389,3520514,12135,124199
390,3528832,12145,124199
391,3537147,12157,124199
392,3545456,12169,124199
393,3553761,12181,124199
394,3562063,12192,124199
395,3570364,12203,124199
396,3578663,12215,124199
397,3586961,12227,124199
398,3595259,12240,124199
399,3603556,12253,124199
400,3611850,12265,124199
401,3620141,12277,124199
402,3628432,12288,124199
403,3636720,12300,124199
404,3645004,12312,124199
405,3653285,12325,124199
406,3661562,12337,124199
407,3669836,12349,124199
408,3678105,12361,124199
409,3686374,12373,124199
410,3694636,12385,124199
411,3702895,12397,124199
412,3711153,12409,124199
413,3719405,12421,124199
414,3727653,12433,124199
415,3735898,12444,124199
416,3744141,12457,124199
417,3752379,12470,124199
418,3760612,12480,124199
419,3768842,12491,124199
420,3777068,12503,124199
421,3785293,12516,124199
422,3793515,12528,124199
423,3801734,12540,124199
424,3809950,12552,124199
425,3818164,12565,124199
426,3826373,12577,124199
427,3834580,12588,124199
428,3842785,12599,124199
429,3850988,12612,124199
430,3859190,12624,124199
431,3867391,12636,124199
432,3875590,12648,124199
433,3883788,12660,124199
434,3891982,12672,124199
435,3900173,12684,124199
436,3908362,12696,124199
437,3916550,12709,124199
438,3924736,12721,124199
439,3932922,12733,124199
440,3941104,12745,124199
441,3949284,12757,124199
442,3957459,12770,124199
443,3965632,12783,124199
444,3973804,12793,124199
445,3981974,12805,124199
446,3990140,12816,124199
447,3998303,12829,124199
448,4006463,12841,124199
449,4014618,12854,124199
450,4022769,12866,124199
451,4030919,12877,124199
452,4039065,12889,124199
453,4047206,12902,124199
454,4055346,12914,124199
455,4063482,12925,124199
456,4071614,12937,124199
457,4079743,12949,124199
458,4087867,12961,124199
459,4095987,12973,124199
460,4104104,12986,124199
461,4112215,12999,124199
462,4120323,13011,124199
463,4128428,13024,124199
464,4136528,13036,124199
465,4144625,13048,124199
466,4152721,13060,124199
467,4160813,13072,124199
468,4168900,13084,124199
469,4176982,13096,124199
470,4185057,13108,124199
471,4193128,13120,124199
472,4201194,13132,124199
473,4209258,13144,124199
474,4217320,13156,124199
475,4225377,13168,124199
476,4233432,13180,124199
477,4241484,13192,124199
478,4249533,13204,124199
479,4257581,13217,124199
480,4265628,13229,124199
481,4273672,13241,124199
482,4281713,13253,124199
483,4289751,13265,124199
484,4297788,13277,124199
485,4305821,13288,124199
486,4313850,13300,124199
487,4321877,13312,124199
488,4329901,13324,124199
489,4337920,13337,124199
490,4345935,13350,124199
491,4353948,13362,124199
492,4361959,13374,124199
493,4369967,13386,124199
494,4377972,13397,124199
495,4385975,13409,124199
496,4393973,13421,124199
497,4401967,13433,124199
498,4409957,13445,124199
499,4417943,13457,124199
500,4425927,13469,124199
501,4433909,13481,124199
